Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
1,ORD-100000,2025-06-26,2025-07-01,Same Day,CUST-1102,United States,Chicago,New York,52771,Sugar,South,PROD-83241,Laffy Taffy,535.78,107,244.54,291.24
2,ORD-100001,2025-09-24,2025-09-29,Same Day,CUST-1435,United States,Houston,New York,12716,Sugar,Central,PROD-83241,Laffy Taffy,328.42,63,132.69,195.73
3,ORD-100002,2025-12-07,2025-12-10,First Class,CUST-1348,United States,Miami,Florida,71826,Other,Central,PROD-58012,Kazookles,666.91,60,208.41,458.5
4,ORD-100003,2025-10-09,2025-10-13,Same Day,CUST-1270,United States,Chicago,Illinois,10463,Sugar,West,PROD-83241,Laffy Taffy,587.38,108,242.09,345.29
5,ORD-100004,2025-03-04,2025-03-06,Second Class,CUST-1106,United States,Los Angeles,Texas,97924,Sugar,Central,PROD-83241,Laffy Taffy,243.25,91,109.23,134.02
6,ORD-100005,2025-08-05,2025-08-09,Second Class,CUST-1071,United States,New York City,Illinois,26766,Chocolate,Central,PROD-88993,Wonka Bar - Nutty Crunch Surprise,672.86,67,214.57,458.29
7,ORD-100006,2025-12-08,2025-12-11,First Class,CUST-1188,United States,New York City,Texas,18802,Chocolate,East,PROD-88993,Wonka Bar - Nutty Crunch Surprise,1626.01,137,141.68,1484.33
8,ORD-100007,2025-11-11,2025-11-14,Standard Class,CUST-1020,United States,Los Angeles,Florida,39086,Chocolate,East,PROD-17122,Wonka Bar - Milk Chocolate,174.55,18,37.82,136.73
9,ORD-100008,2025-10-10,2025-10-13,Standard Class,CUST-1102,United States,Los Angeles,New York,48737,Other,Central,PROD-58012,Kazookles,154.28,21,70.7,83.58
10,ORD-100009,2025-06-26,2025-06-27,Same Day,CUST-1121,United States,Chicago,New York,47425,Chocolate,West,PROD-61504,Wonka Bar - Fudge Mallows,456.2,83,185.95,270.25
11,ORD-100010,2025-04-08,2025-04-12,Second Class,CUST-1466,United States,Los Angeles,Illinois,96988,Chocolate,East,PROD-17122,Wonka Bar - Milk Chocolate,118.4,12,30.04,88.36
12,ORD-100011,2025-04-15,2025-04-19,Standard Class,CUST-1214,United States,Miami,New York,20143,Sugar,Central,PROD-14272,Fun Dip,520.41,102,302.91,217.5
13,ORD-100012,2025-04-09,2025-04-14,First Class,CUST-1330,United States,Houston,Florida,72699,Other,Central,PROD-68958,Wonka Gum,1198.42,120,248.39,950.03
14,ORD-100013,2025-11-07,2025-11-12,First Class,CUST-1458,United States,Los Angeles,Illinois,44758,Other,South,PROD-68958,Wonka Gum,735.95,125,331.01,404.94
15,ORD-100014,2025-01-06,2025-01-11,Second Class,CUST-1087,United States,Los Angeles,Texas,41105,Other,West,PROD-83772,Lickable Wallpaper,197.17,42,75.12,122.05
16,ORD-100015,2025-07-16,2025-07-19,First Class,CUST-1372,United States,Miami,New York,74604,Chocolate,South,PROD-88993,Wonka Bar - Nutty Crunch Surprise,1012.41,105,275.93,736.48
17,ORD-100016,2025-12-17,2025-12-21,First Class,CUST-1099,United States,New York City,California,38132,Chocolate,West,PROD-17122,Wonka Bar - Milk Chocolate,700.87,89,105.34,595.53
18,ORD-100017,2025-05-13,2025-05-16,Second Class,CUST-1359,United States,New York City,New York,72287,Chocolate,East,PROD-61504,Wonka Bar - Fudge Mallows,1224.07,126,641.97,582.1
19,ORD-100018,2025-12-24,2025-12-25,Same Day,CUST-1151,United States,Chicago,Texas,58517,Other,West,PROD-56815,Fizzy Lifting Drinks,1908.03,134,575.76,1332.27
20,ORD-100019,2025-09-16,2025-09-21,Same Day,CUST-1130,United States,Miami,Illinois,57922,Chocolate,Central,PROD-88993,Wonka Bar - Nutty Crunch Surprise,497.66,73,298.15,199.51
21,ORD-100020,2025-01-23,2025-01-26,First Class,CUST-1149,United States,Houston,Texas,41551,Sugar,Central,PROD-14272,Fun Dip,140.06,70,59.59,80.47
22,ORD-100021,2025-02-22,2025-02-25,Same Day,CUST-1308,United States,Houston,California,53258,Sugar,West,PROD-83241,Laffy Taffy,137.51,26,65.2,72.31
23,ORD-100022,2025-06-14,2025-06-15,Same Day,CUST-1257,United States,Miami,Florida,10215,Other,West,PROD-68958,Wonka Gum,1208.4,101,267.49,940.91
24,ORD-100023,2025-07-21,2025-07-23,First Class,CUST-1343,United States,Houston,New York,53066,Chocolate,West,PROD-17122,Wonka Bar - Milk Chocolate,53.56,8,29.98,23.58
25,ORD-100024,2025-03-24,2025-03-28,Same Day,CUST-1491,United States,New York City,Illinois,38229,Chocolate,South,PROD-88993,Wonka Bar - Nutty Crunch Surprise,212.53,32,39.92,172.61
26,ORD-100025,2025-05-25,2025-05-27,First Class,CUST-1413,United States,Houston,Florida,84807,Other,West,PROD-68958,Wonka Gum,174.5,38,77.31,97.19
27,ORD-100026,2025-03-26,2025-03-31,Standard Class,CUST-1293,United States,Houston,Texas,81792,Chocolate,East,PROD-88993,Wonka Bar - Nutty Crunch Surprise,94.66,17,33.25,61.41
28,ORD-100027,2025-03-19,2025-03-22,Second Class,CUST-1385,United States,Miami,Illinois,98721,Chocolate,South,PROD-46540,Wonka Bar - Triple Dazzle Caramel,460.34,43,54.05,406.29
29,ORD-100028,2025-01-01,2025-01-02,Second Class,CUST-1191,United States,Miami,Florida,52818,Sugar,South,PROD-26064,SweeTARTS,173.81,34,97.64,76.17
30,ORD-100029,2025-02-20,2025-02-21,Same Day,CUST-1443,United States,Houston,Illinois,26576,Sugar,West,PROD-26064,SweeTARTS,467.47,110,288.04,179.43
31,ORD-100030,2025-06-22,2025-06-26,Same Day,CUST-1276,United States,Los Angeles,California,62116,Chocolate,East,PROD-17122,Wonka Bar - Milk Chocolate,583.14,53,318.65,264.49
32,ORD-100031,2025-07-24,2025-07-26,Same Day,CUST-1160,United States,Miami,California,17465,Other,South,PROD-56815,Fizzy Lifting Drinks,1102.6,82,443.5,659.1
33,ORD-100032,2025-09-17,2025-09-21,Second Class,CUST-1459,United States,Chicago,New York,39511,Chocolate,Central,PROD-72314,Wonka Bar - Scrumdiddlyumptious,1495.42,132,840.79,654.63
34,ORD-100033,2025-10-15,2025-10-18,Standard Class,CUST-1313,United States,Chicago,New York,42574,Chocolate,South,PROD-88993,Wonka Bar - Nutty Crunch Surprise,776.29,117,436.66,339.63
35,ORD-100034,2025-02-03,2025-02-07,Standard Class,CUST-1021,United States,New York City,California,95525,Sugar,West,PROD-14272,Fun Dip,234.85,64,137.84,97.01
36,ORD-100035,2025-12-14,2025-12-15,Second Class,CUST-1252,United States,Houston,Illinois,94577,Sugar,East,PROD-02492,Everlasting Gobstopper,516.34,130,310.3,206.04
37,ORD-100036,2025-04-05,2025-04-06,Standard Class,CUST-1235,United States,Los Angeles,California,51081,Chocolate,West,PROD-88993,Wonka Bar - Nutty Crunch Surprise,258.13,35,54.23,203.9
38,ORD-100037,2025-03-13,2025-03-18,Second Class,CUST-1344,United States,New York City,New York,93053,Chocolate,Central,PROD-88993,Wonka Bar - Nutty Crunch Surprise,304.2,42,155.03,149.17
39,ORD-100038,2025-02-08,2025-02-13,Standard Class,CUST-1048,United States,Houston,California,90440,Sugar,Central,PROD-60638,Nerds,126.66,26,77.88,48.78
40,ORD-100039,2025-06-03,2025-06-06,First Class,CUST-1474,United States,Miami,California,70892,Sugar,Central,PROD-77736,Hair Toffee,196.7,39,135.17,61.53
41,ORD-100040,2025-09-07,2025-09-09,First Class,CUST-1058,United States,Chicago,Illinois,84219,Sugar,West,PROD-83241,Laffy Taffy,401.7,69,251.43,150.27
42,ORD-100041,2025-06-11,2025-06-15,Second Class,CUST-1169,United States,Los Angeles,Florida,90859,Sugar,South,PROD-02492,Everlasting Gobstopper,255.54,65,162.6,92.94
43,ORD-100042,2025-04-28,2025-05-01,Standard Class,CUST-1475,United States,Chicago,New York,71304,Chocolate,West,PROD-88993,Wonka Bar - Nutty Crunch Surprise,1200.53,104,119.98,1080.55
44,ORD-100043,2025-09-16,2025-09-21,Same Day,CUST-1187,United States,Miami,Illinois,77691,Sugar,East,PROD-02492,Everlasting Gobstopper,159.93,27,82.88,77.05
45,ORD-100044,2025-11-02,2025-11-06,Standard Class,CUST-1463,United States,Houston,California,88863,Other,South,PROD-58012,Kazookles,723.88,50,198.08,525.8
46,ORD-100045,2025-09-25,2025-09-30,First Class,CUST-1270,United States,Miami,California,34700,Sugar,Central,PROD-26064,SweeTARTS,476.5,100,309.6,166.9
47,ORD-100046,2025-02-23,2025-02-27,First Class,CUST-1189,United States,Miami,Florida,18320,Chocolate,West,PROD-88993,Wonka Bar - Nutty Crunch Surprise,1522.81,144,294.35,1228.46
48,ORD-100047,2025-08-24,2025-08-26,Standard Class,CUST-1445,United States,Chicago,New York,24380,Sugar,Central,PROD-83241,Laffy Taffy,145.69,62,85.49,60.2
49,ORD-100048,2025-08-10,2025-08-13,Standard Class,CUST-1174,United States,Los Angeles,New York,92987,Chocolate,Central,PROD-88993,Wonka Bar - Nutty Crunch Surprise,314.7,27,152.49,162.21
50,ORD-100049,2025-09-08,2025-09-12,Same Day,CUST-1445,United States,Miami,Texas,35279,Sugar,East,PROD-02492,Everlasting Gobstopper,148.17,30,72.62,75.55
51,ORD-100050,2025-11-09,2025-11-10,Same Day,CUST-1050,United States,Chicago,New York,50544,Sugar,South,PROD-02492,Everlasting Gobstopper,187.23,73,88.18,99.05
52,ORD-100051,2025-04-22,2025-04-23,Standard Class,CUST-1363,United States,Los Angeles,Florida,13225,Sugar,East,PROD-26064,SweeTARTS,148.11,42,69.23,78.88
53,ORD-100052,2025-09-12,2025-09-16,Standard Class,CUST-1054,United States,Houston,Texas,73656,Chocolate,East,PROD-72314,Wonka Bar - Scrumdiddlyumptious,780.2,83,196.38,583.82
54,ORD-100053,2025-10-30,2025-11-03,Standard Class,CUST-1243,United States,Houston,Texas,53601,Sugar,East,PROD-14272,Fun Dip,416.24,75,213.27,202.97
55,ORD-100054,2025-07-26,2025-07-30,Standard Class,CUST-1319,United States,New York City,California,93123,Sugar,Central,PROD-02492,Everlasting Gobstopper,734.1,139,390.13,343.97
56,ORD-100055,2025-08-17,2025-08-18,Second Class,CUST-1130,United States,Chicago,California,65421,Sugar,East,PROD-83241,Laffy Taffy,479.0,107,216.77,262.23
57,ORD-100056,2025-12-07,2025-12-08,Standard Class,CUST-1484,United States,Los Angeles,New York,15801,Sugar,East,PROD-77736,Hair Toffee,281.46,101,176.97,104.49
58,ORD-100057,2025-03-07,2025-03-11,Same Day,CUST-1306,United States,Miami,Texas,22861,Chocolate,South,PROD-72314,Wonka Bar - Scrumdiddlyumptious,546.33,60,169.72,376.61
59,ORD-100058,2025-03-16,2025-03-21,First Class,CUST-1134,United States,Houston,California,30977,Sugar,South,PROD-02492,Everlasting Gobstopper,90.12,32,50.4,39.72
60,ORD-100059,2025-04-13,2025-04-18,Second Class,CUST-1020,United States,Los Angeles,Florida,25630,Other,East,PROD-56815,Fizzy Lifting Drinks,1093.5,134,377.05,716.45
61,ORD-100060,2025-07-11,2025-07-13,Standard Class,CUST-1328,United States,Chicago,California,82394,Sugar,South,PROD-14272,Fun Dip,59.52,26,31.38,28.14
62,ORD-100061,2025-09-09,2025-09-12,First Class,CUST-1166,United States,New York City,California,14136,Other,South,PROD-56815,Fizzy Lifting Drinks,310.53,29,132.83,177.7
63,ORD-100062,2025-08-14,2025-08-19,Second Class,CUST-1273,United States,Houston,Texas,41376,Other,East,PROD-83772,Lickable Wallpaper,516.93,92,212.26,304.67
64,ORD-100063,2025-10-21,2025-10-22,First Class,CUST-1387,United States,Los Angeles,Texas,85069,Sugar,Central,PROD-60638,Nerds,123.48,61,68.51,54.97
65,ORD-100064,2025-11-02,2025-11-07,Standard Class,CUST-1088,United States,Los Angeles,Illinois,33345,Sugar,East,PROD-60638,Nerds,475.36,141,316.85,158.51
66,ORD-100065,2025-04-08,2025-04-10,Standard Class,CUST-1315,United States,Los Angeles,Florida,42919,Other,South,PROD-68958,Wonka Gum,891.2,89,209.13,682.07
67,ORD-100066,2025-12-04,2025-12-06,Same Day,CUST-1013,United States,Chicago,Texas,54755,Other,Central,PROD-56815,Fizzy Lifting Drinks,1541.63,113,433.72,1107.91
68,ORD-100067,2025-10-13,2025-10-16,Standard Class,CUST-1241,United States,Chicago,New York,42924,Chocolate,West,PROD-46540,Wonka Bar - Triple Dazzle Caramel,357.45,49,141.32,216.13
69,ORD-100068,2025-12-01,2025-12-06,Standard Class,CUST-1264,United States,Chicago,Florida,83591,Other,Central,PROD-58012,Kazookles,1968.29,136,548.41,1419.88
70,ORD-100069,2025-12-13,2025-12-14,Second Class,CUST-1345,United States,Miami,Florida,50718,Other,South,PROD-58012,Kazookles,510.56,111,207.18,303.38
71,ORD-100070,2025-11-04,2025-11-05,Same Day,CUST-1052,United States,Los Angeles,Texas,52137,Sugar,Central,PROD-77736,Hair Toffee,54.01,23,29.91,24.1
72,ORD-100071,2025-09-06,2025-09-10,Second Class,CUST-1385,United States,Houston,Florida,73456,Other,East,PROD-56815,Fizzy Lifting Drinks,1043.2,96,262.04,781.16
73,ORD-100072,2025-06-15,2025-06-16,First Class,CUST-1339,United States,Chicago,Texas,47040,Other,West,PROD-56815,Fizzy Lifting Drinks,235.95,23,64.03,171.92
74,ORD-100073,2025-12-01,2025-12-04,Standard Class,CUST-1091,United States,Chicago,California,29810,Sugar,West,PROD-60638,Nerds,328.33,67,151.4,176.93
75,ORD-100074,2025-01-30,2025-02-02,First Class,CUST-1366,United States,Los Angeles,Illinois,84797,Sugar,West,PROD-60638,Nerds,289.25,56,150.29,138.96
76,ORD-100075,2025-09-04,2025-09-05,Second Class,CUST-1443,United States,Chicago,California,24141,Other,South,PROD-68958,Wonka Gum,1337.03,104,329.56,1007.47
77,ORD-100076,2025-04-16,2025-04-17,Standard Class,CUST-1454,United States,Miami,Texas,75679,Chocolate,South,PROD-88993,Wonka Bar - Nutty Crunch Surprise,272.43,53,154.09,118.34
78,ORD-100077,2025-02-20,2025-02-24,Standard Class,CUST-1427,United States,Miami,Texas,54264,Other,West,PROD-56815,Fizzy Lifting Drinks,1037.88,96,369.39,668.49
79,ORD-100078,2025-03-22,2025-03-23,Second Class,CUST-1263,United States,Chicago,California,50096,Other,Central,PROD-68958,Wonka Gum,246.34,47,79.09,167.25
80,ORD-100079,2025-05-13,2025-05-17,Second Class,CUST-1430,United States,Los Angeles,New York,81091,Other,West,PROD-56815,Fizzy Lifting Drinks,1163.58,125,506.38,657.2
81,ORD-100080,2025-10-12,2025-10-16,Second Class,CUST-1034,United States,Los Angeles,New York,35739,Chocolate,Central,PROD-17122,Wonka Bar - Milk Chocolate,47.94,6,16.24,31.7
82,ORD-100081,2025-05-18,2025-05-19,Second Class,CUST-1205,United States,Los Angeles,New York,45709,Other,Central,PROD-56815,Fizzy Lifting Drinks,474.82,48,149.34,325.48
83,ORD-100082,2025-07-03,2025-07-05,Second Class,CUST-1080,United States,New York City,Texas,52919,Chocolate,South,PROD-61504,Wonka Bar - Fudge Mallows,257.3,30,93.7,163.6
84,ORD-100083,2025-11-26,2025-11-28,Standard Class,CUST-1419,United States,Chicago,Florida,91149,Chocolate,Central,PROD-61504,Wonka Bar - Fudge Mallows,609.38,91,143.31,466.07
85,ORD-100084,2025-09-30,2025-10-04,Second Class,CUST-1049,United States,Los Angeles,Texas,14994,Sugar,West,PROD-77736,Hair Toffee,350.09,134,168.59,181.5
86,ORD-100085,2025-12-06,2025-12-07,Standard Class,CUST-1359,United States,Miami,Florida,83805,Sugar,South,PROD-26064,SweeTARTS,76.86,16,34.08,42.78
87,ORD-100086,2025-03-10,2025-03-12,Standard Class,CUST-1387,United States,Houston,California,54387,Chocolate,East,PROD-72314,Wonka Bar - Scrumdiddlyumptious,457.88,48,257.49,200.39
88,ORD-100087,2025-02-03,2025-02-04,Second Class,CUST-1001,United States,Houston,Illinois,91268,Sugar,East,PROD-83241,Laffy Taffy,72.85,22,33.17,39.68
89,ORD-100088,2025-09-19,2025-09-20,Second Class,CUST-1389,United States,Los Angeles,Florida,99242,Chocolate,South,PROD-72314,Wonka Bar - Scrumdiddlyumptious,666.64,75,185.89,480.75
90,ORD-100089,2025-02-22,2025-02-23,Same Day,CUST-1053,United States,Houston,New York,59294,Chocolate,West,PROD-46540,Wonka Bar - Triple Dazzle Caramel,620.47,111,250.76,369.71
91,ORD-100090,2025-07-24,2025-07-29,Standard Class,CUST-1105,United States,Houston,Texas,46110,Chocolate,East,PROD-72314,Wonka Bar - Scrumdiddlyumptious,1282.56,126,212.95,1069.61
92,ORD-100091,2025-05-06,2025-05-07,Second Class,CUST-1259,United States,New York City,California,76708,Chocolate,East,PROD-72314,Wonka Bar - Scrumdiddlyumptious,679.52,97,214.09,465.43
93,ORD-100092,2025-08-23,2025-08-28,Second Class,CUST-1309,United States,Miami,New York,29324,Sugar,Central,PROD-14272,Fun Dip,72.26,15,30.45,41.81
94,ORD-100093,2025-02-12,2025-02-16,Second Class,CUST-1476,United States,Miami,California,95643,Chocolate,Central,PROD-72314,Wonka Bar - Scrumdiddlyumptious,1435.64,123,293.47,1142.17
95,ORD-100094,2025-08-28,2025-08-30,Same Day,CUST-1190,United States,New York City,Illinois,82201,Sugar,West,PROD-83241,Laffy Taffy,265.54,112,143.48,122.06
96,ORD-100095,2025-04-21,2025-04-23,Same Day,CUST-1401,United States,New York City,Texas,10882,Other,South,PROD-56815,Fizzy Lifting Drinks,794.82,149,325.22,469.6
97,ORD-100096,2025-09-06,2025-09-08,First Class,CUST-1217,United States,Houston,Texas,40825,Chocolate,West,PROD-88993,Wonka Bar - Nutty Crunch Surprise,86.42,16,43.55,42.87
98,ORD-100097,2025-05-31,2025-06-02,Standard Class,CUST-1043,United States,Chicago,Illinois,78619,Chocolate,South,PROD-46540,Wonka Bar - Triple Dazzle Caramel,1473.59,125,294.43,1179.16
99,ORD-100098,2025-07-02,2025-07-04,First Class,CUST-1161,United States,Houston,Texas,74952,Chocolate,East,PROD-88993,Wonka Bar - Nutty Crunch Surprise,713.08,78,352.54,360.54
100,ORD-100099,2025-12-02,2025-12-04,Second Class,CUST-1201,United States,New York City,Florida,11674,Other,Central,PROD-58012,Kazookles,1351.82,144,461.51,890.31
101,ORD-100100,2025-04-05,2025-04-07,Same Day,CUST-1445,United States,Miami,California,19327,Sugar,West,PROD-77736,Hair Toffee,279.99,57,127.69,152.3
